SiteID,precipitation,rain_time,subtreatment,Treatment,sampleID,rf_event,sample_event,ro_event,Year,flow_time,flow,tss_sum,random,rf_rate,crop,f_loc,per_prairie,plant_date
ARM,0.011,231,control,control,1001,10,1,17,2016,10721,17194.897,17.70880466,NR,2.857142857,soybean,eofilter,0,
ARM,0.033,151,control,control,1001,12,1,17,2016,10721,17194.897,17.70880466,NR,13.11258278,soybean,eofilter,0,
ARM,0.033,361,control,control,1001,14,1,17,2016,10721,17194.897,17.70880466,NR,5.484764543,soybean,eofilter,0,
ARM,0.033,361,prairie strip,strips,1000,14,1,12,2016,691,802.293,0.202753734,NR,5.484764543,soybean,gw_eop,0.0837,
ARM,0.025,341,control,control,1006,16,2,19,2016,6641,14240.346,11.30092702,NR,4.398826979,soybean,eofilter,0,
ARM,0.01,96,control,control,1006,18,2,19,2016,6641,14240.346,11.30092702,NR,6.25,soybean,eofilter,0,
ARM,0.016,46,control,control,1006,20,2,19,2016,6641,14240.346,11.30092702,NR,20.86956522,soybean,eofilter,0,
ARM,0.016,46,prairie strip,strips,NS,20,2,,2016,0,0,0,NR,20.86956522,soybean,gw_eop,0.0837,
ARM,0.012,121,control,control,1008,26,3,35,2016,6116,23867.338,61.53595112,NR,5.950413223,soybean,eofilter,0,
ARM,0.051,206,control,control,1008,28,3,35,2016,6116,23867.338,61.53595112,NR,14.85436893,soybean,eofilter,0,
ARM,0.051,206,prairie strip,strips,1007,28,3,14,2016,826,1604.461,0.086412892,NR,14.85436893,soybean,gw_eop,0.0837,
ARM,0.007,231,control,control,1008,30,3,35,2016,6116,23867.338,61.53595112,NR,1.818181818,soybean,eofilter,0,
ARM,0.056,301,control,control,1016,48,4,55,2016,1126,4413.512,1.513254485,NR,11.1627907,soybean,eofilter,0,
ARM,0.056,301,prairie strip,strips,NS,48,4,,2016,0,0,0,NR,11.1627907,soybean,gw_eop,0.0837,
ARM,0.047,126,control,control,1034,80,5,113,2016,26,20.8,0.003297607,NR,22.38095238,soybean,eofilter,0,
ARM,0.047,126,prairie strip,strips,NS,80,5,,2016,0,0,0,NR,22.38095238,soybean,gw_eop,0.0837,
ARM,0.028,261,control,control,2007,22,1,18,2017,2266,1053.45,4.967727228,NR,6.436781609,corn,eofilter,0,114
ARM,0.028,261,prairie strip,strips,NS,22,1,,2017,0,0,0,NR,6.436781609,corn,gw_eop,0.0837,114
ARM,0.05,1176,control,control,2011,24,2,24,2017,8201,16019.967,11.63584483,NR,2.551020408,corn,eofilter,0,114
ARM,0.05,1176,control,control,2012,24,2,24,2017,8201,16019.967,4.803453331,NR,2.551020408,corn,eofilter,0,114
ARM,0.019,146,control,control,2014,26,2,24,2017,8201,16019.967,8.513913491,NR,7.808219178,corn,eofilter,0,114
ARM,0.019,146,prairie strip,strips,NS,26,2,,2017,0,0,0,NR,7.808219178,corn,gw_eop,0.0837,114
ARM,0.024,641,control,control,2014,28,2,24,2017,8201,16019.967,8.513913491,NR,2.24648986,corn,eofilter,0,114
ARM,0.035,521,control,control,2020,38,3,36,2017,96,187.058,0.275019461,NR,4.030710173,corn,eofilter,0,114
ARM,0.035,521,prairie strip,strips,NS,38,3,,2017,0,0,0,NR,4.030710173,corn,gw_eop,0.0837,114
ARM,0.055,31,control,control,2022,42,4,38,2017,2901,16227.983,28.63822551,NR,106.4516129,corn,eofilter,0,114
ARM,0.055,31,prairie strip,strips,2021,42,4,12,2017,576,3436.717,0.256284475,NR,106.4516129,corn,gw_eop,0.0837,114
ARM,0.02,496,control,control,3046,72,1,15,2018,181,421.114,0.085212247,NR,2.419354839,soybean,eofilter,0,129
ARM,0.02,496,prairie strip,strips,NS,72,1,,2018,0,0,0,NR,2.419354839,soybean,gw_eop,0.0837,129
ARM,0.018,646,control,control,3048,78,2,19,2018,1276,5056.601,0.195652991,NR,1.671826625,soybean,eofilter,0,129
ARM,0.018,646,prairie strip,strips,NS,78,2,,2018,0,0,0,NR,1.671826625,soybean,gw_eop,0.0837,129
ARM,0.021,96,control,control,3075,98,3,23,2018,1516,5369.519,0.180291934,NR,13.125,soybean,eofilter,0,129
ARM,0.021,96,prairie strip,strips,NS,98,3,,2018,0,0,0,NR,13.125,soybean,gw_eop,0.0837,129
ARM,0.052,456,control,control,4013,24,1,8,2019,661,681.16,2.167175397,NR,6.842105263,corn,eofilter,0,112
ARM,0.052,456,prairie strip,strips,NS,24,1,,2019,0,0,0,NR,6.842105263,corn,gw_eop,0.0837,112
ARM,0.024,261,control,control,4017,30,2,14,2019,1161,2623.566,8.399633621,NR,5.517241379,corn,eofilter,0,112
ARM,0.024,261,prairie strip,strips,4016,30,2,12,2019,656,4441.809,0.653272317,NR,5.517241379,corn,gw_eop,0.0837,112
ARM,0.06,101,control,control,4043,52,3,22,2019,461,452.92,22.62740997,NR,35.64356436,corn,eofilter,0,112
ARM,0.06,101,prairie strip,strips,NS,52,3,,2019,0,0,0,NR,35.64356436,corn,gw_eop,0.0837,112
ARM,0.064,696,control,control,4051,86,4,26,2019,676,725.6,1.724727541,NR,5.517241379,corn,eofilter,0,112
ARM,0.064,696,prairie strip,strips,NS,86,4,,2019,0,0,0,NR,5.517241379,corn,gw_eop,0.0837,112
ARM,0.029,151,control,control,4053,88,5,28,2019,71,3036.538,3.499987412,NR,11.52317881,corn,eofilter,0,112
ARM,0.029,151,prairie strip,strips,NS,88,5,,2019,0,0,0,NR,11.52317881,corn,gw_eop,0.0837,112
ARM,0.048,456,control,control,4056,94,6,32,2019,1416,6322.056,3.006721611,NR,6.315789474,corn,eofilter,0,112
ARM,0.048,456,prairie strip,strips,NS,94,6,,2019,0,0,0,NR,6.315789474,corn,gw_eop,0.0837,112
ARM,0.014,36,control,control,4063,98,7,34,2019,216,1455.414,0.569116633,NR,23.33333333,corn,eofilter,0,112
ARM,0.014,36,prairie strip,strips,NS,98,7,,2019,0,0,0,NR,23.33333333,corn,gw_eop,0.0837,112
ARM,0.015,166,control,control,4065,102,8,36,2019,796,1428.299,0.685351401,NR,5.421686747,corn,eofilter,0,112
ARM,0.015,166,prairie strip,strips,NS,102,8,,2019,0,0,0,NR,5.421686747,corn,gw_eop,0.0837,112
EIA,0.013,266,control,control,NS,22,1,,2016,0,0,0,R,2.932330827,soybean,gw,0,
EIA,0.013,266,prairie strip,strips,1002,22,1,16,2016,5081,1219.121,0.020899248,R,2.932330827,soybean,gw,0.0612,
EIA,0.015,16,control,control,NS,44,2,,2016,0,0,0,R,56.25,soybean,gw,0,
EIA,0.015,16,prairie strip,strips,1009,44,2,30,2016,9226,6677.659,0.201366784,R,56.25,soybean,gw,0.0612,
EIA,0.013,66,prairie strip,strips,1009,46,2,30,2016,9226,6677.659,0.201366784,R,11.81818182,soybean,gw,0.0612,
EIA,0.129,496,control,control,1011,60,4,18,2016,2341,76397.393,11.53258131,R,15.60483871,soybean,gw,0,
EIA,0.129,496,prairie strip,strips,1010,60,4,36,2016,15421,124586.827,0.767643528,R,15.60483871,soybean,gw,0.0612,
EIA,0.02,136,control,control,NS,64,4,,2016,0,0,0,R,8.823529412,soybean,gw,0,
EIA,0.02,136,prairie strip,strips,1012,64,4,36,2016,15421,124586.827,0.231084685,R,8.823529412,soybean,gw,0.0612,
EIA,0.015,91,prairie strip,strips,1015,74,5,42,2016,12041,3096.496,0.000741966,R,9.89010989,soybean,gw,0.0612,
EIA,0.021,71,prairie strip,strips,1017,78,5,42,2016,12041,3096.496,0.190270448,R,17.74647887,soybean,gw,0.0612,
EIA,0.021,71,prairie strip,strips,1017,78,5,46,2016,236,194.991,0.029891543,R,17.74647887,soybean,gw,0.0612,
EIA,0.03,46,prairie strip,strips,1017,82,5,42,2016,12041,3096.496,0.190270448,R,39.13043478,soybean,gw,0.0612,
EIA,0.03,46,prairie strip,strips,1017,82,5,46,2016,236,194.991,0.029891543,R,39.13043478,soybean,gw,0.0612,
EIA,0.015,46,control,control,NS,82,5,,2016,0,0,0,R,9.89010989,soybean,gw,0,
EIA,0.11,241,control,control,1020,86,6,58,2016,2071,58417.219,8.54253176,R,27.38589212,soybean,gw,0,
EIA,0.11,241,prairie strip,strips,1019,86,6,48,2016,3971,103744.018,3.927855667,R,27.38589212,soybean,gw,0.0612,
EIA,0.062,1071,control,control,1024,98,7,86,2016,1816,23057.473,2.359052018,R,3.473389356,soybean,gw,0,
EIA,0.062,1071,prairie strip,strips,1023,98,7,60,2016,1741,31320.114,0.205687822,R,3.473389356,soybean,gw,0.0612,
EIA,0.031,131,control,control,1027,102,8,88,2016,756,2097.325,0.521034555,R,14.19847328,soybean,gw,0,
EIA,0.031,131,prairie strip,strips,1026,102,8,66,2016,35381,111145.804,0.263366957,R,14.19847328,soybean,gw,0.0612,
EIA,0.062,141,control,control,1032,104,9,94,2016,4486,44304.789,2.302286001,R,26.38297872,soybean,gw,0,
EIA,0.062,141,prairie strip,strips,1031,104,9,66,2016,35381,111145.804,1.02063893,R,26.38297872,soybean,gw,0.0612,
EIA,0.029,186,control,control,NS,108,10,,2016,0,0,0,R,9.35483871,soybean,gw,0,
EIA,0.029,186,prairie strip,strips,1036,108,10,76,2016,24736,26216.996,0.910995145,R,9.35483871,soybean,gw,0.0612,
EIA,0.019,371,prairie strip,strips,1037,110,10,76,2016,24736,26216.996,0.041579676,R,3.07277628,soybean,gw,0.0612,
EIA,0.019,371,prairie strip,strips,1038,110,10,76,2016,24736,26216.996,0.255437694,R,3.07277628,soybean,gw,0.0612,
EIA,0.026,61,control,control,3012,22,1,10,2018,3121,25799.587,9.730638821,R,25.57377049,soybean,gw,0,126
EIA,0.026,61,prairie strip,strips,3011,22,1,14,2018,3461,29752.349,76.34594749,R,25.57377049,soybean,gw,0.0612,126
EIA,0.056,136,control,control,3012,24,1,10,2018,3121,25799.587,9.730638821,R,24.70588235,soybean,gw,0,126
EIA,0.056,136,prairie strip,strips,3011,24,1,14,2018,3461,29752.349,76.34594749,R,24.70588235,soybean,gw,0.0612,126
EIA,0.047,746,control,control,3020,28,2,14,2018,5166,76910.36,0.12104337,R,3.780160858,soybean,gw,0,126
EIA,0.047,746,prairie strip,strips,3022,28,2,22,2018,2681,7572.156,0.187583968,R,3.780160858,soybean,gw,0.0612,126
EIA,0.012,466,control,control,3026,32,2,14,2018,5166,76910.36,11.27534233,R,1.545064378,soybean,gw,0,126
EIA,0.012,466,prairie strip,strips,3025,32,2,22,2018,2681,7572.156,0.014121221,R,1.545064378,soybean,gw,0.0612,126
EIA,0.012,466,prairie strip,strips,3025,32,2,24,2018,641,90949.729,1.422611595,R,1.545064378,soybean,gw,0.0612,126
EIA,0.064,206,control,control,3026,34,2,14,2018,5166,76910.36,11.27534233,R,18.6407767,soybean,gw,0,126
EIA,0.064,206,prairie strip,strips,3025,34,2,22,2018,2681,7572.156,0.014121221,R,18.6407767,soybean,gw,0.0612,126
EIA,0.064,206,prairie strip,strips,3025,34,2,24,2018,641,90949.729,1.422611595,R,18.6407767,soybean,gw,0.0612,126
EIA,0.052,476,control,control,3052,78,3,46,2018,6436,15722.73,1.852548504,R,6.554621849,soybean,gw,0,126
EIA,0.052,476,prairie strip,strips,3051,78,3,46,2018,6396,11151.686,0.305524738,R,6.554621849,soybean,gw,0.0612,126
EIA,0.032,391,prairie strip,strips,3051,80,3,46,2018,6396,11151.686,0.305524738,R,4.910485934,soybean,gw,0.0612,126
EIA,0.017,281,control,control,3060,82,4,56,2018,3671,16289.177,1.253074511,R,3.629893238,soybean,gw,0,126
EIA,0.031,191,control,control,3060,84,4,56,2018,3671,16289.177,1.253074511,R,9.738219895,soybean,gw,0,126
EIA,0.031,191,prairie strip,strips,3059,84,4,48,2018,1481,15563.181,0.415766883,R,9.738219895,soybean,gw,0.0612,126
EIA,0.025,506,prairie strip,strips,3071,98,5,54,2018,1676,2388.705,0.057365975,R,2.964426877,soybean,gw,0.0612,126
EIA,0.025,506,prairie strip,strips,3071,98,5,56,2018,3686,60942.665,1.250425321,R,2.964426877,soybean,gw,0.0612,126
EIA,0.014,121,control,control,3072,100,5,64,2018,7821,38363.883,3.513702829,R,6.94214876,soybean,gw,0,126
EIA,0.014,121,prairie strip,strips,3071,100,5,54,2018,1676,2388.705,0.057365975,R,6.94214876,soybean,gw,0.0612,126
EIA,0.014,121,prairie strip,strips,3071,100,5,56,2018,3686,60942.665,1.250425321,R,6.94214876,soybean,gw,0.0612,126
EIA,0.021,116,control,control,3072,102,5,64,2018,7821,38363.883,3.513702829,R,10.86206897,soybean,gw,0,126
EIA,0.021,116,prairie strip,strips,3071,102,5,54,2018,1676,2388.705,0.057365975,R,10.86206897,soybean,gw,0.0612,126
EIA,0.021,116,prairie strip,strips,3071,102,5,56,2018,3686,60942.665,1.250425321,R,10.86206897,soybean,gw,0.0612,126
EIA,0.012,66,control,control,3081,108,5,64,2018,7821,38363.883,0.450533763,R,10.90909091,soybean,gw,0,126
EIA,0.012,66,prairie strip,strips,3080,108,5,56,2018,3686,60942.665,0.391111062,R,10.90909091,soybean,gw,0.0612,126
HOE,0.00864,121,control,control,SPL1050,2,1,16,2016,1756,415.742,1.034269928,NR,4.284297521,corn,pre_filter,0,
HOE,0.01726,121,control,control,SPL1050,4,1,16,2016,1756,415.742,1.034269928,NR,8.558677686,corn,pre_filter,0,
HOE,0.01726,121,prairie strip,strips,NS,4,1,,2016,0,0,0,NR,8.558677686,corn,eop,0.0754,
HOE,0.06399,961,control,control,SPL1051,8,2,22,2016,29021,22219.642,8.302997186,NR,3.995213319,corn,pre_filter,0,
HOE,0.06399,961,prairie strip,strips,NS,8,2,,2016,0,0,0,NR,3.995213319,corn,eop,0.0754,
HOE,0.045,406,control,control,SPL1052,14,2,22,2016,29021,22219.642,2.701369808,NR,6.650246305,corn,pre_filter,0,
HOE,0.045,406,control,control,SPL1052,14,2,24,2016,1026,1009.896,0.674238523,NR,6.650246305,corn,pre_filter,0,
HOE,0.013,181,control,control,SPL1052,16,2,22,2016,29021,22219.642,2.701369808,NR,4.309392265,corn,pre_filter,0,
HOE,0.013,181,control,control,SPL1052,16,2,24,2016,1026,1009.896,0.674238523,NR,4.309392265,corn,pre_filter,0,
HOE,0.029,401,control,control,SPL1053,18,3,26,2016,1331,1084.536,0.896468298,NR,4.33915212,corn,pre_filter,0,
HOE,0.029,401,prairie strip,strips,NS,18,3,,2016,0,0,0,NR,4.33915212,corn,eop,0.0754,
HOE,0.021,111,control,control,SPL2050,10,1,7,2017,1936,2627.714,7.578900335,NR,11.35135135,soybean,pre_filter,0,
HOE,0.021,111,prairie strip,strips,NS,10,1,,2017,0,0,0,NR,11.35135135,soybean,eop,0.0754,
HOE,0.011,201,control,control,SPL2051,18,2,13,2017,3296,1341.035,5.408619988,NR,3.28358209,soybean,pre_filter,0,
HOE,0.011,201,prairie strip,strips,NS,18,2,,2017,0,0,0,NR,3.28358209,soybean,eop,0.0754,
HOE,0.023,696,control,control,SPL2052,20,3,15,2017,6416,16533.955,4.595399717,NR,1.982758621,soybean,pre_filter,0,
HOE,0.023,696,prairie strip,strips,NS,20,3,,2017,0,0,0,NR,1.982758621,soybean,eop,0.0754,
HOE,0.051,336,control,control,SPL2053,36,4,35,2017,80016,160273.285,22.24429889,NR,9.107142857,soybean,pre_filter,0,
HOE,0.05892,301,control,control,SPL2054,50,4,35,2017,80016,160273.285,18.95189428,NR,11.7448505,soybean,pre_filter,0,
HOE,0.05892,301,prairie strip,strips,NS,50,4,,2017,0,0,0,NR,11.7448505,soybean,eop,0.0754,
HOE,0.037,356,control,control,SPL3300,8,1,6,2018,1116,715.401,0.205311862,NR,6.235955056,corn,pre_filter,0,
HOE,0.037,356,prairie strip,strips,NS,8,1,,2018,0,0,0,NR,6.235955056,corn,eop,0.0754,
HOE,0.08,956,control,control,SPL3301,12,2,10,2018,4256,21959.163,21.3151918,NR,5.020920502,corn,pre_filter,0,
HOE,0.08,956,prairie strip,strips,NS,12,2,,2018,0,0,0,NR,5.020920502,corn,eop,0.0754,
HOE,0.049,461,control,control,SPL3302,14,3,12,2018,2471,27089.94,45.01948975,NR,6.377440347,corn,pre_filter,0,
HOE,0.049,461,prairie strip,strips,SPL3303,14,3,4,2018,931,72920.742,14.49719291,NR,6.377440347,corn,eop,0.0754,
HOE,0.015,41,control,control,SPL3304,16,3,12,2018,2471,27089.94,2.980591767,NR,21.95121951,corn,pre_filter,0,
HOE,0.015,41,prairie strip,strips,SPL3305,16,3,6,2018,246,37740.114,7.303059104,NR,21.95121951,corn,eop,0.0754,
HOE,0.046,416,control,control,SPL3306,18,4,14,2018,1971,13319.251,19.58333031,NR,6.634615385,corn,pre_filter,0,
HOE,0.046,416,prairie strip,strips,SPL3307,18,4,10,2018,771,45926.228,3.954462414,NR,6.634615385,corn,eop,0.0754,
HOE,0.0726,2701,control,control,SPL3309,34,5,68,2018,1906,2709.984,0.875319381,NR,1.612736024,corn,pre_filter,0,
HOE,0.0726,2701,prairie strip,strips,NS,34,5,,2018,0,0,0,NR,1.612736024,corn,eop,0.0754,
HOE,0.06932,3421,control,control,SPL3310,36,6,78,2018,10231,40555.595,20.16030052,NR,1.215784858,corn,pre_filter,0,
HOE,0.06932,3421,prairie strip,strips,NS,36,6,,2018,0,0,0,NR,1.215784858,corn,eop,0.0754,
HOE,0.19962,47641,control,control,SPL4300,3,1,41,2019,3006,23934.936,8.191859302,NR,0.251405302,soybean,pre_filter,0,
HOE,0.19962,47641,prairie strip,strips,SPL4301,3,1,2,2019,2361,188525.702,3.749025274,NR,0.251405302,soybean,eop,0.0754,
HOE,0.049,946,control,control,5007,2,1,4,2020,1526,6281.642,34.41373482,NR,3.10782241,corn,pre_filter,0,
MAR,0.04,176,control,control,2024,18,2,10,2017,5026,1197.09,4.620400243,NR,13.63636364,corn,eof,0,
MAR,0.04,176,grass strip,strips,2023,18,2,4,2017,16,48.757,1.36483222,NR,13.63636364,corn,,0,
MAR,0.04,176,prairie strip,strips,NS,18,2,,2017,0,0,0,NR,13.63636364,corn,eop,0.0925,
MAR,0.046,231,control,control,3036,16,1,42,2018,906,133.76,0.010645826,NR,11.94805195,soybean,eof,0,
MAR,0.046,231,prairie strip,strips,NS,16,1,,2018,0,0,0,NR,11.94805195,soybean,eop,0.0925,
MAR,0.019,501,control,control,3073,54,2,66,2018,5306,1135.132,0.051813586,NR,2.275449102,soybean,eof,0,
MAR,0.019,501,prairie strip,strips,NS,54,2,,2018,0,0,0,NR,2.275449102,soybean,eop,0.0925,
MAR,0.037,451,control,control,4021,30,1,14,2019,3061,1730.57,10.0958513,NR,4.922394678,corn,eof,0,
MAR,0.037,451,grass strip,strips,4022,30,1,22,2019,6086,7673.011,140.8530221,NR,4.922394678,corn,,0,
MAR,0.037,451,prairie strip,strips,NS,30,1,,2019,0,0,0,NR,4.922394678,corn,eop,0.0925,
MAR,0.014,46,control,control,4027,42,2,18,2019,16,154.922,1.293150312,NR,18.26086957,corn,eof,0,
MAR,0.014,46,prairie strip,strips,NS,42,2,,2019,0,0,0,NR,18.26086957,corn,eop,0.0925,
MAR,0.035,166,control,control,5010,14,1,12,2020,346,267.336,0.78632521,NR,12.65060241,corn,eof,0,
MAR,0.035,166,grass strip,strips,5011,14,1,16,2020,1606,10131.304,80.86990009,NR,12.65060241,corn,,0,
MAR,0.035,166,prairie strip,strips,NS,14,1,,2020,0,0,0,NR,12.65060241,corn,eop,0.0925,
MAR,0.021,211,control,control,NS,24,2,,2020,0,0,0,NR,5.971563981,corn,eof,0,
MAR,0.021,211,grass strip,strips,5015,24,2,18,2020,2721,1336.587,3.141262607,NR,5.971563981,corn,,0,
MAR,0.021,211,prairie strip,strips,NS,24,2,,2020,0,0,0,NR,5.971563981,corn,eop,0.0925,
MCN,0.035,211,control,control,2000,2,,,2017,,,,R,9.952606635,corn,gw,0,135
MCN,0.008,466,control,control,2001,6,,,2017,,,,R,1.030042918,corn,gw,0,135
MCN,0.03,196,control,control,2002,14,,,2017,,,,R,9.183673469,corn,gw,0,135
MCN,0.019,366,control,control,2003,18,,,2017,,,,R,3.114754098,corn,gw,0,135
MCN,0.011,636,control,control,2004,24,,,2017,,,,R,1.037735849,corn,gw,0,135
MCN,0.011,636,prairie strip,strips,2005,24,,,2017,,,,R,1.037735849,corn,gw,0.0318,135
MCN,0.035,146,control,control,2008,28,,,2017,,,,R,14.38356164,corn,gw,0,135
MCN,0.035,146,prairie strip,strips,2009,28,,,2017,,,,R,14.38356164,corn,gw,0.0318,135
MCN,0.02,156,prairie strip,strips,2017,34,,,2017,,,,R,7.692307692,corn,gw,0.0318,135
MCN,0.026,126,prairie strip,strips,3001,2,,,2018,,,,R,12.38095238,soybean,gw,0.0318,128
MCN,0.025,146,control,control,3002,8,,,2018,,,,R,10.2739726,soybean,gw,0,128
MCN,0.025,146,prairie strip,strips,3003,8,,,2018,,,,R,10.2739726,soybean,gw,0.0318,128
MCN,0.01,21,control,control,3004,10,,,2018,,,,R,28.57142857,soybean,gw,0,128
MCN,0.01,21,prairie strip,strips,3005,10,,,2018,,,,R,28.57142857,soybean,gw,0.0318,128
MCN,0.025,106,control,control,3006,12,,,2018,,,,R,14.1509434,soybean,gw,0,128
MCN,0.025,106,prairie strip,strips,3007,12,,,2018,,,,R,14.1509434,soybean,gw,0.0318,128
MCN,0.03,151,prairie strip,strips,3009,16,,,2018,,,,R,11.9205298,soybean,gw,0.0318,128
MCN,0.012,36,control,control,3013,22,,,2018,,,,R,20,soybean,gw,0,128
MCN,0.012,36,prairie strip,strips,3014,22,,,2018,,,,R,20,soybean,gw,0.0318,128
MCN,0.011,41,control,control,3031,36,,,2018,,,,R,16.09756098,soybean,gw,0,128
MCN,0.011,41,prairie strip,strips,3032,36,,,2018,,,,R,16.09756098,soybean,gw,0.0318,128
MCN,0.048,246,control,control,3033,42,,,2018,,,,R,11.70731707,soybean,gw,0,128
MCN,0.048,246,prairie strip,strips,3034,42,,,2018,,,,R,11.70731707,soybean,gw,0.0318,128
MCN,0.15667,10621,control,control,3049,52,,,2018,,,,R,0.885057904,soybean,gw,0,128
MCN,0.15667,10621,control,control,3057,52,,,2018,,,,R,0.885057904,soybean,gw,0,128
MCN,0.15667,10621,prairie strip,strips,3050,52,,,2018,,,,R,0.885057904,soybean,gw,0.0318,128
MCN,0.15667,10621,prairie strip,strips,3058,52,,,2018,,,,R,0.885057904,soybean,gw,0.0318,128
MCN,0.044,1081,control,control,3069,58,,,2018,,,,R,2.442183164,soybean,gw,0,128
MCN,0.044,1081,prairie strip,strips,3070,58,,,2018,,,,R,2.442183164,soybean,gw,0.0318,128
MCN,0.014,686,control,control,3069,60,,,2018,,,,R,1.224489796,soybean,gw,0,128
MCN,0.014,686,prairie strip,strips,3070,60,,,2018,,,,R,1.224489796,soybean,gw,0.0318,128
MCN,0.013,101,control,control,3069,64,,,2018,,,,R,7.722772277,soybean,gw,0,128
MCN,0.013,101,prairie strip,strips,3070,64,,,2018,,,,R,7.722772277,soybean,gw,0.0318,128
MCN,0.061,856,control,control,3078,68,,,2018,,,,R,4.275700935,soybean,gw,0,128
MCN,0.061,856,prairie strip,strips,3079,68,,,2018,,,,R,4.275700935,soybean,gw,0.0318,128
MCN,0.04,201,control,control,4000,8,,,2019,,,,R,11.94029851,corn,gw,0,115
MCN,0.04,201,prairie strip,strips,4001,8,,,2019,,,,R,11.94029851,corn,gw,0.0318,115
MCN,0.007,76,prairie strip,strips,4006,20,,,2019,,,,R,5.526315789,corn,gw,0.0318,115
MCN,0.016,346,control,control,4008,26,,,2019,,,,R,2.774566474,corn,gw,0,115
MCN,0.016,346,prairie strip,strips,4009,26,,,2019,,,,R,2.774566474,corn,gw,0.0318,115
MCN,0.012,231,control,control,4025,28,,,2019,,,,R,3.116883117,corn,gw,0,115
MCN,0.012,231,prairie strip,strips,4026,28,,,2019,,,,R,3.116883117,corn,gw,0.0318,115
MCN,0.017,26,control,control,4025,30,,,2019,,,,R,39.23076923,corn,gw,0,115
MCN,0.017,26,prairie strip,strips,4026,30,,,2019,,,,R,39.23076923,corn,gw,0.0318,115
MCN,0.016,81,control,control,4025,32,,,2019,,,,R,11.85185185,corn,gw,0,115
MCN,0.016,81,prairie strip,strips,4026,32,,,2019,,,,R,11.85185185,corn,gw,0.0318,115
MCN,0.015,276,control,control,4025,34,,,2019,,,,R,3.260869565,corn,gw,0,115
MCN,0.015,276,prairie strip,strips,4026,34,,,2019,,,,R,3.260869565,corn,gw,0.0318,115
MCN,0.037,466,control,control,4025,36,,,2019,,,,R,4.763948498,corn,gw,0,115
MCN,0.037,466,prairie strip,strips,4026,36,,,2019,,,,R,4.763948498,corn,gw,0.0318,115
MCN,0.013,131,control,control,4025,38,,,2019,,,,R,5.954198473,corn,gw,0,115
MCN,0.013,131,prairie strip,strips,4026,38,,,2019,,,,R,5.954198473,corn,gw,0.0318,115
MCN,0.016,186,prairie strip,strips,4035,46,,,2019,,,,R,5.161290323,corn,gw,0.0318,115
MCN,0.024,281,control,control,4036,48,,,2019,,,,R,5.12455516,corn,gw,0,115
MCN,0.024,281,prairie strip,strips,4037,48,,,2019,,,,R,5.12455516,corn,gw,0.0318,115
MCN,0.05,86,control,control,4044,52,,,2019,,,,R,34.88372093,corn,gw,0,115
MCN,0.05,86,prairie strip,strips,4045,52,,,2019,,,,R,34.88372093,corn,gw,0.0318,115
MCN,0.048,81,control,control,4047,60,,,2019,,,,R,35.55555556,corn,gw,0,115
MCN,0.048,81,prairie strip,strips,4048,60,,,2019,,,,R,35.55555556,corn,gw,0.0318,115
