SiteID,Year,sample_event,tss_load,crop,random,slope75,LSfactor,Lfactor,Sfactor,C_factor,K_factor,post_Lupslp,post_Tupslp,pre_Lupslp,ppt_sum,ln_ppt,Treatment,ln_slp,ln_LS,ln_L,ln_S,ln_postL,ln_postT
ARM,2016,1,0.202753734,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.077,-2.563949857,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,1,17.70880466,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.077,-2.563949857,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,2,0,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.051,-2.975929646,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,2,11.30092702,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.051,-2.975929646,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,3,0.086412892,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.07,-2.659260037,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,3,61.53595112,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.07,-2.659260037,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,4,0,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.056,-2.882403588,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,4,1.513254485,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.056,-2.882403588,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,5,0,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.047,-3.057607677,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2016,5,0.003297607,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.047,-3.057607677,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,1,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.028,-3.575550769,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,1,4.967727228,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.028,-3.575550769,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,2,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.143,-1.944910649,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,2,24.95321165,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.143,-1.944910649,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,3,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.035,-3.352407217,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,3,0.275019461,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.035,-3.352407217,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,4,0.256284475,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.055,-2.900422094,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2017,4,28.63822551,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.055,-2.900422094,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2018,1,0,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.02,-3.912023005,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2018,1,0.085212247,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.02,-3.912023005,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2018,2,0,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.018,-4.017383521,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2018,2,0.195652991,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.018,-4.017383521,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2018,3,0,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.021,-3.863232841,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2018,3,0.180291934,soybean,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.021,-3.863232841,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,1,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.052,-2.95651156,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,1,2.167175397,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.052,-2.95651156,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,2,0.653272317,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.024,-3.729701449,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,2,8.399633621,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.024,-3.729701449,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,3,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.06,-2.813410717,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,3,22.62740997,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.06,-2.813410717,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,4,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.064,-2.748872196,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,4,1.724727541,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.064,-2.748872196,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,5,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.029,-3.540459449,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,5,3.499987412,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.029,-3.540459449,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,6,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.048,-3.036554268,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,6,3.006721611,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.048,-3.036554268,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,7,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.014,-4.268697949,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,7,0.569116633,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.014,-4.268697949,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,8,0,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.015,-4.199705078,strips,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
ARM,2019,8,0.685351401,corn,NR,9.69,0.9334,1.218611,0.7436,0.08,0.051363,282.55,11480.76,282.55,0.015,-4.199705078,control,2.271094426,-0.068921445,0.197711686,-0.296252023,5.643855526,9.34842787
EIA,2016,1,0.020899248,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.013,-4.342805922,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,1,0,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.013,-4.342805922,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,2,0.201366784,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.015,-4.199705078,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,2,0,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.015,-4.199705078,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,4,0.998728213,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.149,-1.903808973,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,4,11.53258131,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.149,-1.903808973,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,5,0.220903957,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.015,-4.199705078,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,5,0,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.015,-4.199705078,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,6,3.927855667,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.11,-2.207274913,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,6,8.54253176,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.11,-2.207274913,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,7,0.205687822,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.062,-2.780620894,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,7,2.359052018,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.062,-2.780620894,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,8,0.263366957,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.031,-3.473768074,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,8,0.521034555,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.031,-3.473768074,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,9,1.02063893,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.062,-2.780620894,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,9,2.302286001,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.062,-2.780620894,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,10,1.208012515,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.029,-3.540459449,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2016,10,0,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.029,-3.540459449,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,1,76.34594749,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.082,-2.501036032,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,1,9.730638821,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.082,-2.501036032,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,2,1.624316784,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.123,-2.095570924,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,2,11.3963857,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.123,-2.095570924,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,3,0.305524738,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.052,-2.95651156,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,3,1.852548504,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.052,-2.95651156,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,4,0.415766883,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.048,-3.036554268,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,4,1.253074511,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.048,-3.036554268,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,5,1.698902358,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.047,-3.057607677,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,5,3.964236592,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.047,-3.057607677,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
HOE,2016,1,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0259,-3.65351231,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,1,1.034269928,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0259,-3.65351231,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,2,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.17999,-1.714853985,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,2,11.67860552,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.17999,-1.714853985,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,3,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.029,-3.540459449,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,3,0.896468298,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.029,-3.540459449,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,1,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.021,-3.863232841,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,1,7.578900335,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.021,-3.863232841,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,2,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.011,-4.509860006,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,2,5.408619988,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.011,-4.509860006,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,3,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.023,-3.772261063,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,3,4.595399717,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.023,-3.772261063,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,4,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.10992,-2.208002451,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,4,41.19619317,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.10992,-2.208002451,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,1,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.037,-3.296837366,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,1,0.205311862,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.037,-3.296837366,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,2,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.08,-2.525728644,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,2,21.3151918,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.08,-2.525728644,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,3,21.80025201,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.064,-2.748872196,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,3,48.00008152,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.064,-2.748872196,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,4,3.954462414,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.046,-3.079113882,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,4,19.58333031,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.046,-3.079113882,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,5,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0726,-2.622790357,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,5,0.875319381,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0726,-2.622790357,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,6,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.06932,-2.669021814,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,6,20.16030052,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.06932,-2.669021814,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2019,1,3.749025274,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.19962,-1.61133972,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2019,1,8.191859302,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.19962,-1.61133972,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2020,1,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.049,-3.015934981,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2020,1,34.41373482,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.049,-3.015934981,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2021,1,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.078,-2.551046452,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2021,1,0.101538,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.078,-2.551046452,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
